# NVIDIA H100 80GB HBM3, 132 SMs, cold weights, 11 repetitions; synthetic BF16 inputs
M,N,K,variant,us,weight_GBs,lt_mismatches,max_abs_lt,cpu_max_abs,cpu_failures,repeat_mismatches
32,4096,3840,transpose_bk128_d3_s8,23.232,1354.05,251,0.001953125,0.001908129,0,0
32,4096,3840,transpose_bk256_d2_s8,23.776,1323.07,251,0.001953125,0.001908129,0,0
32,4096,3840,driver_transpose_bk128_d3_s8,23.136,1359.67,251,0.001953125,0.001908129,0,0
32,4096,3840,driver_transpose_bk256_d2_s8,24.032,1308.97,251,0.001953125,0.001908129,0,0
32,8192,3840,cublaslt,25.696,2448.42,0,0,0.001555767,0,0
32,8192,3840,native_gemv_grid132,222.112,283.26,493,0.001953125,0.001555767,0,0
32,8192,3840,native_gemv_grid528,178.304,352.85,493,0.001953125,0.001555767,0,0
32,8192,3840,transpose_bk128_d3_s1,39.392,1597.14,0,0,0.001555767,0,0
32,8192,3840,transpose_bk256_d2_s1,34.112,1844.35,0,0,0.001555767,0,0
32,8192,3840,driver_transpose_bk128_d3_s1,34.784,1808.72,0,0,0.001555767,0,0
32,8192,3840,driver_transpose_bk256_d2_s1,35.392,1777.65,0,0,0.001555767,0,0
32,8192,3840,transpose_bk128_d3_s4,35.840,1755.43,450,0.001953125,0.001555767,0,0
32,8192,3840,transpose_bk256_d2_s4,35.808,1757.00,450,0.001953125,0.001555767,0,0
32,8192,3840,driver_transpose_bk128_d3_s4,35.904,1752.30,450,0.001953125,0.001555767,0,0
32,8192,3840,driver_transpose_bk256_d2_s4,35.968,1749.18,450,0.001953125,0.001555767,0,0
32,8192,3840,transpose_bk128_d3_s8,38.976,1614.19,471,0.001953125,0.001555767,0,0
32,8192,3840,transpose_bk256_d2_s8,39.840,1579.18,471,0.001953125,0.001555767,0,0
32,8192,3840,driver_transpose_bk128_d3_s8,39.104,1608.90,471,0.001953125,0.001555767,0,0
32,8192,3840,driver_transpose_bk256_d2_s8,40.256,1562.86,471,0.001953125,0.001555767,0,0
32,15360,3840,cublaslt,43.168,2732.69,0,0,0.0008637181,0,0
32,15360,3840,native_gemv_grid132,406.240,290.38,929,0.00390625,0.0008637181,0,0
