model,kind,phase,batch,query_rows,context,head_dim,q_heads,kv_heads,native_gf,native_splits,fa_version,relative_l2,passed,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us,native_over_library
gemma31,sliding,decode,1,1,1024,256,32,16,2,17,4,0.00018109566008206457,True,37.567999213933945,18.528000451624393,38.2240004837513,20.8320003002882,1.8348694284159783
gemma31,sliding,decode,4,1,1024,256,32,16,2,17,4,0.0004778529400937259,True,96.04800119996071,37.248000502586365,96.70399874448776,42.62400045990944,2.2687687148334184
gemma31,sliding,decode,16,1,1024,256,32,16,2,17,4,0.0006206543184816837,True,332.12800323963165,101.96799784898758,336.7680013179779,106.65600001811981,3.157515763396005
gemma31,sliding,decode,1,1,4096,256,32,16,2,17,4,0.00028109087725169957,True,38.14399987459183,20.128000527620316,38.2080003619194,20.959999412298203,1.822900831738621
gemma31,sliding,decode,4,1,4096,256,32,16,2,17,4,0.00048549490747973323,True,96.11200168728828,37.55199909210205,97.08800166845322,42.78399981558323,2.2692595850538226
gemma31,sliding,decode,16,1,4096,256,32,16,2,17,4,0.0005761049105785787,True,332.7839970588684,105.21600022912025,338.25600147247314,107.02400282025337,3.1605620473808433
gemma31,sliding,decode,1,1,8192,256,32,16,2,17,4,0.0002822513924911618,True,41.10400006175041,18.25599931180477,38.43200020492077,20.94399929046631,1.8349886128202355
gemma31,sliding,decode,4,1,8192,256,32,16,2,17,4,0.000393788970541209,True,96.97600081562996,37.887999787926674,97.37599641084671,42.24000126123428,2.3053028764990455
gemma31,sliding,decode,16,1,8192,256,32,16,2,17,4,0.0005520915728993714,True,376.3999938964844,117.39199981093407,337.74399757385254,106.73600062727928,3.164293168087215
gemma31,sliding,decode,1,1,32768,256,32,16,2,17,4,0.00025312259094789624,True,40.64000025391579,18.192000687122345,38.575999438762665,21.23199962079525,1.8168801868751066
gemma31,sliding,decode,4,1,32768,256,32,16,2,17,4,0.0004460937052499503,True,107.00800269842148,40.20800068974495,107.18399658799171,45.632001012563705,2.3488778534713197
gemma31,sliding,decode,16,1,32768,256,32,16,2,17,4,0.0005613989196717739,True,378.5120099782944,116.94400012493134,378.9599984884262,122.28799983859062,3.098914030719449
gemma31,full,decode,1,1,1024,512,32,4,4,33,4,0.00018443840963300318,True,36.57599911093712,17.040000297129154,36.448001861572266,19.039999693632126,1.9142858428596612
gemma31,full,decode,4,1,1024,512,32,4,4,33,4,0.00019765841716434807,True,104.94400188326836,25.32800007611513,105.04000261425972,31.20000008493662,3.3666667412918727
gemma31,full,decode,16,1,1024,512,32,4,4,33,4,0.0004412671842146665,True,383.4399878978729,66.19200110435486,386.7039978504181,69.68000158667564,5.549712816372329
gemma31,full,decode,1,1,4096,512,32,4,4,33,4,0.000214778192457743,True,79.02399823069572,23.120000027120113,79.31200042366982,31.295999884605408,2.5342536016139117
gemma31,full,decode,4,1,4096,512,32,4,4,33,4,0.00020192594092804939,True,273.77600967884064,62.751999124884605,276.41600370407104,67.4079991877079,4.1006409778511355
gemma31,full,decode,16,1,4096,512,32,4,4,33,4,0.00039152635145001113,True,1091.040015220642,193.63199919462204,1099.503993988037,196.52800261974335,5.594642897355637
gemma31,full,decode,1,1,8192,512,32,4,4,33,4,0.00023819119087420404,True,137.10399717092514,43.18400099873543,137.32799887657166,46.879999339580536,2.9293515531393437
gemma31,full,decode,4,1,8192,512,32,4,4,33,4,0.0002708743850234896,True,503.4559965133667,105.71200028061867,504.65598702430725,109.11999642848969,4.6247800911084775
gemma31,full,decode,16,1,8192,512,32,4,4,33,4,0.00044023682130500674,True,2002.3040771484375,362.09599673748016,2006.9760084152222,364.28800225257874,5.509311303158667
gemma31,full,decode,1,1,32768,512,32,4,4,33,4,0.000135912123369053,True,480.3519994020462,107.35999792814255,484.24001038074493,110.4159988462925,4.385596430231492
gemma31,full,decode,4,1,32768,512,32,4,4,33,4,0.0002847340074367821,True,1896.3040113449097,358.8320016860962,1892.624020576477,362.0480000972748,5.227549993558777
gemma31,full,decode,16,1,32768,512,32,4,4,33,4,0.0003724379639606923,True,7575.808048248291,1367.8399920463562,7575.952053070068,1370.8800077438354,5.52634221104326
gemma31,sliding,prefill,1,1024,1024,256,32,16,2,1,4,0.0006683521205559373,True,216.0320058465004,50.97600072622299,216.0000056028366,50.19200034439564,4.303474739415418
gemma31,sliding,prefill,1,1024,4096,256,32,16,2,1,4,0.0007506352267228067,True,349.42398965358734,79.55200225114822,349.16800260543823,79.58400249481201,4.38741445089043
gemma31,sliding,prefill,1,4096,4096,256,32,16,2,1,4,0.000729657243937254,True,1187.279999256134,238.12799900770187,1186.576008796692,236.30400002002716,5.021396204449047
gemma31,sliding,prefill,1,1024,8192,256,32,16,2,1,4,0.0007536040502600372,True,350.0960022211075,79.52000200748444,349.4720011949539,79.6320028603077,4.388587359883511
gemma31,sliding,prefill,1,8192,8192,256,32,16,2,1,4,0.0007375978748314083,True,2474.3199348449707,486.5120053291321,2473.088026046753,487.5359982252121,5.072626503580431
gemma31,sliding,prefill,1,1024,32768,256,32,16,2,1,4,0.0007501233485527337,True,349.248006939888,79.47200164198875,349.263995885849,79.71200346946716,4.3815734228738945
gemma31,sliding,prefill,1,8192,32768,256,32,16,2,1,4,0.0007499696221202612,True,2676.208019256592,523.2159793376923,2673.8239526748657,523.1199860572815,5.111301468000274
