M,N,K,projection,repeat,control_us,candidate_us,cutlass_control_run_us,cutlass_candidate_run_us,latency_reduction_pct,bit_exact
4096,5120,6144,gdn_out,2,450.00000298023224,394.5759981870651,207.34400302171707,206.35200291872025,12.316445428024092,True
4096,12288,5120,q_full,2,920.6399917602539,779.1039943695068,401.98400616645813,400.7039964199066,15.373652965056595,True
4096,1024,5120,k_or_v,2,85.23200079798698,74.27199929952621,40.0799997150898,40.192000567913055,12.859021724056053,True
4096,17408,5120,gate_or_up,2,1283.9680314064026,1091.6320085525513,554.6239912509918,554.144024848938,14.979813994525614,True
4096,5120,17408,down,2,1054.431974887848,909.4400107860565,583.0560028553009,580.6240141391754,13.750717690177506,True
4096,1024,640,k_tail_128,2,36.20800003409386,34.55999866127968,12.896000407636166,12.784000020474195,4.551484123018124,True
4096,1024,528,k_tail_16,2,36.896001547575,35.37600114941597,14.063999988138676,14.11199988797307,4.119688677373579,True
8192,48,5120,a_or_b,1,44.943999499082565,42.22400113940239,30.736000277101994,31.136000528931618,6.051972209851286,True
8192,10240,5120,qkv,1,1528.4960269927979,1305.6319952011108,669.8240041732788,668.4480011463165,14.580609164562597,True
8192,6144,5120,z,1,939.8080110549927,793.5999929904938,389.18399810791016,390.6880021095276,15.557221937315834,True
8192,5120,6144,gdn_out,1,877.8719902038574,741.3280010223389,367.91999638080597,367.7760064601898,15.553974919488045,True
8192,12288,5120,q_full,1,1789.6479964256287,1517.1520113945007,802.0640015602112,797.5679934024811,15.226233626689167,True
8192,1024,5120,k_or_v,1,163.31199556589127,139.23199474811554,74.17599856853485,73.82399961352348,14.74478389314654,True
8192,17408,5120,gate_or_up,1,2521.1520195007324,2143.968105316162,1120.672047138214,1119.1039681434631,14.960776314443136,True
8192,5120,17408,down,1,2139.904022216797,1828.5279870033264,1027.1680355072021,1020.2239751815796,14.550934620465162,True
8192,1024,640,k_tail_128,1,61.85600161552429,59.07199904322624,19.696000032126904,19.19999998062849,4.500780036838547,True
8192,1024,528,k_tail_16,1,60.736000537872314,58.52799862623215,21.727999672293663,22.064000368118286,3.6354088054635025,True
8192,48,5120,a_or_b,2,44.783998280763626,42.128000408411026,30.719999223947525,30.832000076770782,5.930685008742175,True
8192,10240,5120,qkv,2,1525.600016117096,1304.7040104866028,667.4399971961975,669.0559983253479,14.479287054067424,True
8192,6144,5120,z,2,927.2159934043884,805.9999942779541,390.6559944152832,391.05600118637085,13.073113491213062,True
8192,5120,6144,gdn_out,2,885.5679929256439,747.2000122070312,370.2879995107651,370.2400028705597,15.62477210377573,True
8192,12288,5120,q_full,2,1797.551989555359,1526.3999700546265,801.4400005340576,802.0000159740448,15.084516112816537,True
8192,1024,5120,k_or_v,2,164.67199474573135,140.17599821090698,73.83999973535538,74.25599917769432,14.87562992884639,True
8192,17408,5120,gate_or_up,2,2532.415986061096,2145.151972770691,1120.6080317497253,1217.6160216331482,15.292274864081602,True
8192,5120,17408,down,2,2157.615900039673,1854.6720147132874,1024.8640179634094,1017.0239806175232,14.040677273504299,True
8192,1024,640,k_tail_128,2,61.39199994504452,57.50400014221668,19.551999866962433,19.600000232458115,6.333072397557016,True
8192,1024,528,k_tail_16,2,61.47199869155884,60.54399907588959,21.84000052511692,21.95199951529503,1.5096298077529102,True
