input,concurrency,requests,identical_text,plow_ttft_ms_p50,plow_ttft_ms_p95,plow_ttft_ms_p99,plow_latency_ms_p50,plow_latency_ms_p95,plow_latency_ms_p99,plow_tpot_ms_p50,plow_tpot_ms_p95,plow_tpot_ms_p99,plow_chunk_gap_ms_p50,plow_chunk_gap_ms_p95,plow_chunk_gap_ms_p99,plow_output_tok_s_median_wave,plow_cache_misses,plow_cache_count_mismatches,vllm_ttft_ms_p50,vllm_ttft_ms_p95,vllm_ttft_ms_p99,vllm_latency_ms_p50,vllm_latency_ms_p95,vllm_latency_ms_p99,vllm_tpot_ms_p50,vllm_tpot_ms_p95,vllm_tpot_ms_p99,vllm_chunk_gap_ms_p50,vllm_chunk_gap_ms_p95,vllm_chunk_gap_ms_p99,vllm_output_tok_s_median_wave,vllm_cache_misses,vllm_cache_count_mismatches
2048,32,96,73,5910.324291500729,10926.999739807798,10930.325887509389,8307.505613542162,13324.861837521894,13327.291256270837,77.35473100065946,77.39019275721793,77.40969822512969,77.31198752298951,77.63027501641773,78.44322026357986,76.9166908043777,0,0,390.8005269477144,496.2369228305761,498.0136499798391,1440.3818175196648,1457.8393577539828,1458.879596926272,33.83414679011631,36.7640040227167,41.595047644166755,31.63559001404792,33.37567546986975,201.43243932398036,700.1531943670258,0,0
2048,64,192,140,12621.412113017868,24251.754396606702,24257.848349489504,15019.519804569427,26649.328358494677,26655.067716103513,77.34825161300719,77.38360659286921,77.39836202626446,77.31242448789999,77.61603464605287,78.3838569978252,76.81290202885997,0,0,581.7792594898492,961.4362411783077,971.0530435736291,2130.612137436401,2175.6839596433565,2183.8521105994005,49.85538514466175,61.086639122767075,61.47483527528934,40.33928900025785,137.52281342749484,229.6911815041676,934.7255618221562,0,0
4096,1,3,3,298.3837890205905,298.98108752677217,299.03418072732165,1195.7863590214401,1196.5921748662367,1196.6638029413298,28.95594373976271,28.963741660869168,28.964434809411966,28.948895982466638,29.01435901876539,29.045165632851422,26.741057436775968,0,0,43.716856045648456,43.98291043471545,44.00655971374363,776.8823179649189,776.9123491714709,776.9150186120532,23.646802190811403,23.651089209822878,23.651470278179453,23.738112999126315,24.162029405124485,24.341444447636604,41.141665955636185,0,0
4096,4,12,11,701.7907759873196,704.4131460366771,704.6232236130163,2305.6002175435424,2308.2976979610976,2308.3497332490515,51.73277819431537,51.748976264066336,51.75339793835226,51.7024279688485,51.83005346916616,52.16528818011284,55.469182165662374,0,0,122.21867352491245,128.5810215107631,128.9911107288208,879.1832799906842,885.4233680292964,886.2333024293184,24.44344685382901,25.29230803765747,25.349884548923,24.605802551377565,25.355887971818447,48.15596890170127,145.15439156861646,0,0
4096,8,24,20,1402.3119719931856,1413.193054049043,1413.8549805502407,3844.3037775577977,3855.906079651322,3857.466144305654,78.79016761322535,78.83324679362798,78.84605333483177,78.73995247064158,79.05435705906712,80.15319364727475,66.51580687764528,0,0,188.04695800645277,232.23202360095456,232.69445525947958,994.3586474983022,1015.2358100516722,1016.0393665370066,25.997033081723437,28.420450447705544,28.428409266578516,25.490290950983763,26.74055891111493,61.39402473345437,251.65158197135366,0,0
4096,16,48,47,3345.9310159669258,5280.761106789578,5281.641304895747,5789.513798023108,7722.158288501669,7724.292307285359,78.80792822576157,78.96784648633442,78.98553397596604,78.76499596750364,79.11598944338039,79.71375848399472,66.36363415454825,0,0,351.3166350312531,435.84577746805735,439.06529329833575,1273.8250694819726,1295.1049318304285,1297.7561547223013,29.79530961320345,36.18087623711495,36.54124070792609,28.094797511585057,29.75233636680059,90.31121292151511,393.84564546503987,0,0
4096,32,96,84,7206.317020463757,12999.05787827447,13003.633670753334,9649.987961980514,15441.995463741478,15446.344980655704,78.80941482313398,78.86593559786918,78.87714696454725,78.75351654365659,79.08414895064197,80.12051554396749,66.33529560719212,0,0,572.6153695140965,874.608291516779,877.0281899080146,1831.9947670097463,1876.0916807805188,1877.8961680771317,40.589395416675195,46.93741373616391,52.26792597902878,33.136841433588415,89.17781076161191,219.12470724782906,543.9602169208304,0,0
4096,64,192,172,14931.439262407366,28402.24616129999,28409.241956938058,17375.622994964942,30845.553854014724,30852.98184467829,78.81181182212106,78.88891133348336,78.95896255620755,78.7597315502353,79.09845561953261,80.11075503425673,66.36050087636495,0,0,1053.0667019775137,3262.6620944589376,3284.8746441327967,2548.3152789529413,4225.500468688551,4247.258707309375,48.82507840163946,66.38899733774333,80.69187752294144,38.20150048704818,205.16615334781815,244.49253609054722,481.79203462058285,0,0
8192,1,3,3,364.4862410146743,364.59439585451037,364.60400961805135,1273.2884159777313,1273.2937971595675,1273.2942754868418,29.316199192356677,29.316441611867518,29.31646316026848,29.310862999409437,29.349923972040415,29.376680431887507,25.10425138686727,0,0,68.60724301077425,68.71360674267635,68.7230612966232,802.7477829018608,803.4952329355292,803.561672938522,23.68545529222296,23.706414430372174,23.708277464874328,23.861375986598432,24.233143776655197,24.50097991619259,39.787580224595615,0,0
8192,4,12,12,1318.1017144815996,1320.1577895495575,1320.5653219332453,2964.638117526192,2966.932231298415,2967.257103085285,53.1226996456333,53.16890199263129,53.17818137892191,53.08114999206737,53.20494899060577,54.051037646131604,43.117878752524845,0,0,229.1173454723321,240.20156296319328,240.82234135712497,989.5697300089523,1004.4780129683204,1004.9129970022477,24.60695248502757,28.054918490928568,28.336193967918536,24.95209954213351,25.75834197923541,41.10303873429177,128.75248953754752,0,0
8192,8,24,24,2649.906129518058,2659.3953345378395,2660.3156221983954,5181.0797060607,5192.445339279948,5194.272625192534,81.67535575639997,81.75684135226953,81.78099645151487,81.60070754820481,81.91856312914751,83.40187661466189,49.34416134467062,0,0,386.3410184858367,437.24314863211475,443.87256219866686,1217.2520229360089,1240.4880492133088,1250.1430395280477,26.814690387372167,33.587362007763716,34.62340337062825,26.20615594787523,27.416547323809937,102.80389245948754,205.57535392790243,0,0
8192,16,48,48,5223.152479040436,7856.4720000489615,7860.187720146496,7759.910943568684,10393.699167424347,10397.383997123688,81.77538988773802,81.87694347091771,81.92059300306644,81.69088402064517,82.04306414700113,83.31203779671341,49.366537504623196,0,0,650.0861850217916,849.5574510539882,854.3292855028994,1715.212518000044,1744.4756340410095,1748.2505441841204,34.514680564884216,47.73808141884905,47.775091214496044,29.652586032170802,31.54746133950539,232.30519271339287,292.08119298576673,0,0
8192,32,96,96,10438.985832501203,18250.483329204144,18259.435567446053,12974.855936015956,20788.553805992706,20796.094454749255,81.80973462895639,81.88745006543374,81.91956835085406,81.722786067985,82.05411199014634,83.79519943264313,49.21819676868754,0,0,1048.277017485816,3485.834980965592,3495.977253327146,2248.5571795259602,4289.74000402377,4300.716649676906,40.127207239669175,61.265144999431925,64.53402859943678,33.45937194535509,128.4814745595213,268.417506973492,237.34358610697046,3,3
8192,64,192,191,20807.998367527034,38989.6464668971,39021.34833980468,23342.547826992813,41525.633231404936,41554.69201048487,81.7471890346027,81.88336245216159,81.90589908713235,81.66947652352974,82.01763201504946,83.95281114964746,49.28081558954505,0,0,3634.5480480231345,6882.613220741041,7008.242347771302,5121.866789471824,7984.752938587917,8027.400950154988,44.08571666346923,58.41073098915419,61.80290213624587,33.627976081334054,173.93640640075319,261.54755298397504,257.9474968281646,6,6
16384,1,3,3,699.0994539810345,706.0931982123293,706.7148643662222,1629.753326997161,1636.8558389949612,1637.4871733947657,30.021092677939563,30.024601315568773,30.024913194469146,30.020468053407967,30.05098896101117,30.075785601511598,19.604492942664365,0,0,145.76598594430834,146.12933390308172,146.16163149941713,883.2622240297496,883.942622190807,884.0031020273454,23.790201228562623,23.80042865444275,23.80133775896543,24.037810042500496,24.65399233624339,25.10995961725712,36.12645314720791,0,0
16384,4,12,12,2698.89537000563,2702.484693581937,2703.056213114178,4437.814159027766,4442.176191933686,4442.4102415994275,56.09818424225875,56.16791534684448,56.18378479826084,56.04248453164473,56.17400246555917,57.158084829570726,28.791539991444086,0,0,439.86434902762994,490.5866534332745,492.6870955317281,1261.6717740311287,1275.6458213261794,1280.609036324313,26.521587355678243,31.961436903915335,33.95287816818323,25.827167963143438,26.897410419769585,168.99471751530655,100.34603042933237,0,0
16384,8,24,24,5284.309909504373,5291.292477957904,5292.036644994514,7999.234115472063,8007.655506790616,8010.234016919276,87.58661837031644,87.75090505744541,87.76162904011265,87.46811200398952,87.81396151171066,90.83097780472599,31.963259942737686,0,0,726.2273415108211,978.5403006826527,983.1826886441559,1786.2516365130432,1815.2357732702512,1821.663108720677,34.3134235496813,49.19331892442348,49.80374529995325,27.86382642807439,30.06786245969124,263.8183650036808,140.4233260825676,0,0
16384,16,48,48,9241.229409002699,13299.842299352167,13305.290222847834,11957.769085944165,16012.945019471226,16020.149472650373,87.56364158151911,87.75853283586912,87.7957270967008,87.41086546797305,87.77435461524874,90.97276876564136,31.963444571054843,0,0,1205.8879079995677,2807.509344787104,2810.4739827185404,2716.926859517116,3628.996792912949,3631.041421085829,48.75650645173605,60.49666896710291,63.252769264189766,31.57088498119265,178.7952262093313,280.3020538005496,140.6924495372138,0,0
16384,32,96,95,17300.20019802032,29333.73005822068,29346.598787372932,20011.166904005222,32049.64274377562,32066.92236677627,87.58113435432014,87.75781862054681,87.77661940848995,87.45844900840893,87.7857934392523,90.91222423012368,31.94731351090059,0,0,3305.2180974627845,6875.933287461521,7298.548992420547,4917.332276934758,8266.29281922942,8330.179449444404,51.46122088603255,62.598254307240786,63.37937046191655,31.7775669391267,265.6665740069002,289.76345268893056,155.6149915805531,1,1
16384,64,192,192,33328.66970199393,61338.62612930825,61370.74450304499,36043.67915750481,64050.8426467306,64085.00750026782,87.56375641772343,87.76238695474251,87.80123988534474,87.43618550943211,87.80761893722229,90.85435690591112,31.942144214851183,0,0,7111.975432024337,15397.031223832162,15583.874803388026,8260.178294964135,16405.76492891996,16446.575177258346,49.63361482218569,58.874908463856684,66.40343819482013,31.78189496975392,263.01096249953844,289.49002079083584,124.0719377780424,6,6
