experiment,model,batch,context,native_gf,native_splits,qk_tensor_core,native_decode_registers,native_decode_smem_bytes,relative_l2,native_grouping_control_relative_l2,passed,hot_native_us,hot_vllm_us,evicted_native_us,evicted_vllm_us
qwen27-qk-tc-r2,qwen27,4,32768,6,33,True,115,59712,0.0022060293704271317,8.593903544351633e-08,True,265.9680098295212,186.35199964046478,271.696001291275,192.54399836063385
qwen27-qk-tc-r2,qwen27,16,32768,6,33,True,115,59712,0.0022368228528648615,7.07862272975035e-06,True,1014.847993850708,692.5279796123505,1019.1839933395386,698.0319917201996
qwen27-control-r2,qwen27,1,1024,6,33,False,113,17472,0.0021878161933273077,0.0,True,17.27999933063984,15.199999790638685,18.12800019979477,15.503999777138233
qwen27-control-r2,qwen27,4,1024,6,33,False,113,17472,0.002144108060747385,0.0,True,40.111999958753586,16.224000602960587,40.76800122857094,20.495999604463577
qwen27-control-r2,qwen27,16,1024,6,33,False,113,17472,0.002173534594476223,0.0,True,136.33599877357483,40.720000863075256,139.02399688959122,42.67200082540512
qwen27-control-r2,qwen27,1,4096,6,33,False,113,17472,0.002174102235585451,0.0,True,30.608000233769417,18.112000077962875,30.736000277101994,21.839999593794346
qwen27-control-r2,qwen27,4,4096,6,33,False,113,17472,0.002148633124306798,0.0,True,90.14400094747543,38.575999438762665,90.4960036277771,42.30399988591671
qwen27-control-r2,qwen27,16,4096,6,33,False,113,17472,0.0021663487423211336,0.0,True,332.5760066509247,104.38400134444237,335.1840078830719,107.56799951195717
qwen27-control-r2,qwen27,1,8192,6,33,False,113,17472,0.0022709867917001247,0.0,True,47.15200141072273,21.503999829292297,46.92799970507622,29.55200057476759
qwen27-control-r2,qwen27,4,8192,6,33,False,113,17472,0.002189111663028598,0.0,True,153.77599745988846,59.15199965238571,153.82400155067444,65.13599678874016
qwen27-control-r2,qwen27,16,8192,6,33,False,113,17472,0.0022223491687327623,0.0,True,584.5119953155518,190.33600389957428,588.4480178356171,192.78400391340256
qwen27-control-r2,qwen27,1,32768,6,33,False,113,17472,0.0021347650326788425,0.0,True,143.99999380111694,60.864001512527466,144.41600441932678,68.14399734139442
qwen27-control-r2,qwen27,4,32768,6,33,False,113,17472,0.0022060293704271317,0.0,True,539.4720137119293,187.45599687099457,539.9520099163055,192.87999719381332
qwen27-control-r2,qwen27,16,32768,6,33,False,113,17472,0.002236811211332679,0.0,True,2122.383952140808,700.8319795131683,2122.1920251846313,698.2719898223877
gemma12-b1-short-current-r2,gemma12,1,1024,4,33,False,82,16448,3.735986683750525e-05,0.0,True,21.727999672293663,16.3199994713068,23.055999539792538,16.176000237464905
gemma12-b1-short-current-r2,gemma12,1,4096,4,33,False,82,16448,3.1004248739918694e-05,0.0,True,43.487999588251114,20.75199969112873,44.495999813079834,22.33599964529276
