shape,M,N,K,arm,splitK,BM,BN,BK,stages,threads,grid,repeat,samples,median_us,p10_us,p90_us,logical_weight_GBs,physical_weight_passes,flush_bytes
gemma12_8192x3840,8,8192,3840,zg0,8,16,128,64,4,256,132,1,40,47.456001,46.271999,49.504002,1325.745111,1,268435456
gemma12_8192x3840,8,8192,3840,zg0,16,16,128,64,4,256,132,1,40,51.968002,50.144001,53.632000,1210.640303,1,268435456
gemma12_512x3840,8,512,3840,cublasLt,0,0,0,0,0,0,0,0,40,18.464001,18.015999,21.056000,212.963605,0,268435456
gemma12_512x3840,8,512,3840,scalar,0,0,0,0,0,256,132,0,40,17.071999,16.639999,17.600000,230.328049,1,268435456
gemma12_512x3840,8,512,3840,zg0,1,16,128,64,4,256,132,0,40,51.727997,51.231998,52.767998,76.016090,1,268435456
gemma12_512x3840,8,512,3840,zg0,2,16,128,64,4,256,132,0,40,31.072001,30.559999,32.512001,126.549949,1,268435456
gemma12_512x3840,8,512,3840,zg0,4,16,128,64,4,256,132,0,40,20.816000,20.320000,22.112001,188.900846,1,268435456
gemma12_512x3840,8,512,3840,zg0,8,16,128,64,4,256,132,0,40,16.208000,14.976001,17.567999,242.606120,1,268435456
gemma12_512x3840,8,512,3840,zg0,16,16,128,64,4,256,132,0,40,14.656000,13.664000,15.776001,268.296943,1,268435456
gemma12_512x3840,8,512,3840,cublasLt,0,0,0,0,0,0,0,1,40,18.400000,17.759998,20.448000,213.704348,0,268435456
gemma12_512x3840,8,512,3840,scalar,0,0,0,0,0,256,132,1,40,16.864000,16.672001,17.632000,233.168880,1,268435456
gemma12_512x3840,8,512,3840,zg0,1,16,128,64,4,256,132,1,40,51.024002,49.920002,52.223999,77.064905,1,268435456
gemma12_512x3840,8,512,3840,zg0,2,16,128,64,4,256,132,1,40,30.896000,29.727999,32.000000,127.270844,1,268435456
gemma12_512x3840,8,512,3840,zg0,4,16,128,64,4,256,132,1,40,20.736000,19.743999,22.016001,189.629630,1,268435456
gemma12_512x3840,8,512,3840,zg0,8,16,128,64,4,256,132,1,40,16.432001,15.136000,17.696001,239.298900,1,268435456
gemma12_512x3840,8,512,3840,zg0,16,16,128,64,4,256,132,1,40,15.456000,14.944000,16.608000,254.409938,1,268435456
gemma12_3840x8192,8,3840,8192,cublasLt,0,0,0,0,0,0,0,0,40,43.311996,42.176003,46.080002,1452.589714,0,268435456
gemma12_3840x8192,8,3840,8192,scalar,0,0,0,0,0,256,132,0,40,88.992004,88.256004,90.272003,706.968654,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,1,16,128,64,4,256,132,0,40,98.479996,98.015999,99.551994,638.856265,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,2,16,128,64,4,256,132,0,40,56.288002,55.647999,57.567997,1117.725903,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,4,16,128,64,4,256,132,0,40,44.672001,43.487999,45.823997,1408.366762,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,8,16,128,64,4,256,132,0,40,45.136002,43.424000,46.208000,1393.888692,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,16,16,128,64,4,256,132,0,40,47.344002,45.888000,48.640003,1328.881379,1,268435456
gemma12_3840x8192,8,3840,8192,cublasLt,0,0,0,0,0,0,0,1,40,43.439999,42.431999,45.375999,1448.309392,0,268435456
gemma12_3840x8192,8,3840,8192,scalar,0,0,0,0,0,256,132,1,40,89.279999,88.127998,90.272003,704.688172,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,1,16,128,64,4,256,132,1,40,97.792000,96.832001,98.783997,643.350785,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,2,16,128,64,4,256,132,1,40,55.919998,55.264000,57.248001,1125.081545,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,4,16,128,64,4,256,132,1,40,44.463997,43.104000,45.408001,1414.955144,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,8,16,128,64,4,256,132,1,40,45.568001,44.160000,47.072002,1380.674157,1,268435456
gemma12_3840x8192,8,3840,8192,zg0,16,16,128,64,4,256,132,1,40,47.967999,47.072002,49.984001,1311.594396,1,268435456
gemma12_262144x3840,8,262144,3840,cublasLt,0,0,0,0,0,0,0,0,40,663.823975,660.960022,666.783997,3032.830871,0,268435456
gemma12_262144x3840,8,262144,3840,scalar,0,0,0,0,0,256,132,0,40,1787.024048,1784.543945,1789.440063,1126.602620,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,1,16,128,64,4,256,132,0,40,769.888062,763.487976,776.543945,2615.011218,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,2,16,128,64,4,256,132,0,40,756.239990,752.096008,761.856018,2662.205014,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,4,16,128,64,4,256,132,0,40,774.192017,770.112000,777.248047,2600.473681,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,8,16,128,64,4,256,132,0,40,851.456055,847.359985,857.888000,2364.497722,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,16,16,128,64,4,256,132,0,40,982.320007,971.647949,991.039978,2049.501099,1,268435456
gemma12_262144x3840,8,262144,3840,cublasLt,0,0,0,0,0,0,0,1,40,663.615967,660.960022,666.495972,3033.781750,0,268435456
gemma12_262144x3840,8,262144,3840,scalar,0,0,0,0,0,256,132,1,40,1785.631958,1783.744019,1788.992065,1127.480870,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,1,16,128,64,4,256,132,1,40,768.608032,761.727966,774.143982,2619.366122,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,2,16,128,64,4,256,132,1,40,755.968018,753.088013,767.040039,2663.162885,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,4,16,128,64,4,256,132,1,40,774.671997,769.440002,777.952026,2598.862383,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,8,16,128,64,4,256,132,1,40,850.192017,845.856018,857.088013,2368.013249,1,268435456
gemma12_262144x3840,8,262144,3840,zg0,16,16,128,64,4,256,132,1,40,983.424011,974.687988,994.368042,2047.200312,1,268435456
gemma31_8192x5376,8,8192,5376,cublasLt,0,0,0,0,0,0,0,0,40,52.879997,52.287998,54.655998,1665.665479,0,268435456
gemma31_8192x5376,8,8192,5376,scalar,0,0,0,0,0,256,132,0,40,102.608002,101.823997,103.936005,858.416342,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,1,16,128,64,4,256,132,0,40,70.463997,70.047997,71.328003,1250.005450,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,2,16,128,64,4,256,132,0,40,53.328003,52.736000,55.231998,1651.672246,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,4,16,128,64,4,256,132,0,40,54.080002,52.544003,55.264000,1628.705325,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,8,16,128,64,4,256,132,0,40,54.928001,54.239998,56.223999,1603.560734,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,16,16,128,64,4,256,132,0,40,61.183998,60.320000,62.784000,1439.598326,1,268435456
gemma31_8192x5376,8,8192,5376,cublasLt,0,0,0,0,0,0,0,1,40,53.344002,52.256001,55.872002,1651.176965,0,268435456
gemma31_8192x5376,8,8192,5376,scalar,0,0,0,0,0,256,132,1,40,102.832001,101.984001,103.776001,856.546445,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,1,16,128,64,4,256,132,1,40,69.744003,69.056000,71.328003,1262.909842,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,2,16,128,64,4,256,132,1,40,53.375999,52.127998,54.976002,1650.187050,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,4,16,128,64,4,256,132,1,40,53.903999,52.959999,55.008003,1634.023152,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,8,16,128,64,4,256,132,1,40,55.535999,54.239998,56.768002,1586.005186,1,268435456
gemma31_8192x5376,8,8192,5376,zg0,16,16,128,64,4,256,132,1,40,62.015999,60.992001,63.295998,1420.284830,1,268435456
gemma31_4096x5376,8,4096,5376,cublasLt,0,0,0,0,0,0,0,0,40,35.535995,34.848000,38.336002,1239.312158,0,268435456
gemma31_4096x5376,8,4096,5376,scalar,0,0,0,0,0,256,132,0,40,61.728001,60.927998,62.560001,713.455677,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,1,16,128,64,4,256,132,0,40,68.447998,67.968002,69.983994,643.410940,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,2,16,128,64,4,256,132,0,40,41.296001,40.639999,42.240002,1066.451763,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,4,16,128,64,4,256,132,0,40,34.400002,33.759998,35.200001,1280.238140,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,8,16,128,64,4,256,132,0,40,35.743999,34.784000,37.152000,1232.100269,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,16,16,128,64,4,256,132,0,40,39.296001,38.655998,40.672001,1120.729642,1,268435456
gemma31_4096x5376,8,4096,5376,cublasLt,0,0,0,0,0,0,0,1,40,36.256001,35.071999,41.472000,1214.700794,0,268435456
gemma31_4096x5376,8,4096,5376,scalar,0,0,0,0,0,256,132,1,40,61.535999,60.576000,62.015999,715.681747,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,1,16,128,64,4,256,132,1,40,67.776001,67.264000,68.864006,649.790368,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,2,16,128,64,4,256,132,1,40,41.167999,40.223999,42.304001,1069.767586,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,4,16,128,64,4,256,132,1,40,34.256001,33.472000,35.904003,1285.619804,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,8,16,128,64,4,256,132,1,40,36.431999,35.327999,38.112000,1208.832675,1,268435456
gemma31_4096x5376,8,4096,5376,zg0,16,16,128,64,4,256,132,1,40,40.143997,39.520000,41.695999,1097.055507,1,268435456
gemma31_5376x8192,8,5376,8192,cublasLt,0,0,0,0,0,0,0,0,40,51.952000,49.952000,63.135998,1695.418540,0,268435456
