input,concurrency,requests,identical_text,plow_ttft_ms_p50,plow_ttft_ms_p95,plow_ttft_ms_p99,plow_latency_ms_p50,plow_latency_ms_p95,plow_latency_ms_p99,plow_tpot_ms_p50,plow_tpot_ms_p95,plow_tpot_ms_p99,plow_chunk_gap_ms_p50,plow_chunk_gap_ms_p95,plow_chunk_gap_ms_p99,plow_output_tok_s_median_wave,plow_cache_misses,vllm_ttft_ms_p50,vllm_ttft_ms_p95,vllm_ttft_ms_p99,vllm_latency_ms_p50,vllm_latency_ms_p95,vllm_latency_ms_p99,vllm_tpot_ms_p50,vllm_tpot_ms_p95,vllm_tpot_ms_p99,vllm_chunk_gap_ms_p50,vllm_chunk_gap_ms_p95,vllm_chunk_gap_ms_p99,vllm_output_tok_s_median_wave,vllm_cache_misses
2048,32,96,54,6321.995651000179,12392.065958469175,12554.821287735831,7914.329382474534,13751.532669062726,13787.470409047091,51.3655069667185,51.5072813235043,51.52823246223101,38.17714500473812,162.4969549884554,204.0640207414981,74.23762880744995,0,263.52073752786964,400.5574847687967,402.5928900577128,1091.5572984958999,1106.5079390245955,1108.544434630312,26.62773587132594,28.07507265242748,30.598575793274286,23.344954010099173,25.368599774083123,157.3637445399072,922.0215151128654,0
2048,64,192,104,13226.359968946781,25841.83347011567,26275.677047498757,14818.534725985955,27423.628583119716,27528.144391553942,51.39901095084966,51.54536218934452,51.90578946948893,38.17823150893673,162.4609919381328,204.07879604841582,74.3461872962965,0,445.8794390084222,749.5163103740197,760.838660862064,1639.5605734433047,1676.2451699119993,1687.551048110472,38.27129719373319,43.13229226146735,46.35495000229698,31.162592524196953,139.75950741441912,168.33577442215756,1215.5609092269679,0
4096,1,3,2,295.0043610762805,296.5866582002491,296.72730683349073,954.1098870104179,955.9440357028507,956.107071142178,21.26146857852056,21.269592822664567,21.27031497769959,21.251144004054368,21.293877949938178,21.505964500829577,33.51004282278273,0,40.83294095471501,56.29663385916501,57.67118433956057,511.9555189739913,524.3790640612133,525.4833791800775,15.182325094487638,15.195984774524526,15.197198968305582,15.242888941429555,15.750044002197683,15.833821115083992,62.365764628926776,0
4096,4,12,10,714.3479299847968,1165.1593365008011,1166.8014824809507,2358.583074004855,2421.339328587055,2423.1130024790764,53.010234999800886,64.40466972586188,64.46454295415371,38.890398980583996,77.19166187453084,324.5009443629533,52.87160289369792,0,120.16401352593675,122.11268261889927,122.29038450284861,613.9111440279521,616.1161710508168,616.3092998415232,15.935353917865864,16.878906502050437,16.884920863216863,16.087132564280182,16.742223972687498,17.773670360911645,207.88731322484347,0
4096,8,24,18,1875.3689795266837,3524.43484828691,3527.0625108189415,3948.426083486993,4780.687641759869,4783.629903515102,65.15176985563049,66.93656232805112,67.00859936588864,38.89218403492123,313.20754205808043,351.1623132042587,53.50774062120279,0,210.30996850458905,213.30994016025215,213.4290742711164,726.4401779975742,730.050126981223,731.9916252954863,16.664732564916655,19.68392407363881,20.058241171777368,17.050107941031456,18.165462999604642,39.2520850058645,349.8879107827607,0
4096,16,48,41,4235.476533474866,8120.388945186278,8243.990688273916,6308.331687992904,9473.728238267358,9500.607022689655,66.77226785330042,67.01009753366722,67.01584916648216,38.89481001533568,314.19437299482524,354.5033397327643,53.9186327346564,0,260.76324796304107,376.4829073275905,377.91277803247795,943.0514205014333,960.7320597628132,963.0204281804617,21.744058095669793,25.88216219953592,26.1600011215365,19.327056943438947,21.109581168275316,106.07816517003532,537.1990569487473,0
4096,32,96,79,8965.913268504664,17335.020743019413,17670.850297930883,11038.862462504767,18866.637696279213,18927.393443440087,66.84128472566485,66.98381700909756,67.00293331485874,38.896253041457385,316.1561337474268,355.0788822758477,54.090535139082064,0,446.57862797612324,677.3224829812534,682.7945686702151,1387.8925055032596,1415.8393670222722,1420.848686149111,30.625458534491518,35.18460885501437,38.9220412548316,24.70692398492247,76.91554396878996,159.83697371091694,718.5347265381665,0
4096,64,192,154,18353.620067005977,35517.3124443565,36441.01150376722,20427.975385508034,37592.59161982918,37697.69487569225,66.86946588771177,67.00635048271637,67.21983569880737,38.89336803695187,316.5977399039548,355.1330386858899,54.28025996871658,0,784.7391269751824,1329.0656528493855,1385.7911107130349,2266.8436794774607,2356.8409427651204,2368.873223194387,46.798363065106734,61.19283425843249,63.63265030949767,34.09781208029017,166.7434244067408,184.9386682990007,873.0342358930623,0
8192,1,3,3,341.57950000371784,343.48960330244154,343.6593902623281,1011.5693500265479,1013.7658035499044,1013.9610438630916,21.622839256099635,21.62394076998856,21.624038682334245,21.60842507146299,21.657866635359824,21.877506570890546,31.586004325110665,0,67.68814194947481,68.49098703823984,68.56235104613006,540.5057249590755,541.0727565176785,541.1231593228877,15.249559096240949,15.251917996999598,15.252127677067033,15.362792066298425,15.911637735553086,16.090309722349048,59.03203946869089,0
8192,4,12,10,830.165863968432,1349.1410103393719,1350.1789324497804,2584.545205521863,2649.498596752528,2650.171011306811,56.573680791658376,70.09636580628613,70.12699532698119,40.323647554032505,79.59495777031407,370.7261635758914,48.29618979260495,0,198.0543789686635,200.61050963704474,201.36067309067585,696.2225904571824,701.3429052487481,704.5043778291438,16.172603550066633,19.243881199321137,19.24797755632279,16.44948002649471,17.425208020722494,47.19090213533491,182.4219419632012,0
8192,8,24,23,2100.060394499451,3931.5363506262656,3932.372384502087,4354.965937556699,5231.754554121289,5232.256276208209,70.80231195188037,72.73275353589035,72.7949298768785,40.314904472325,359.33837721240707,398.9621142123361,48.87777857655266,0,317.9115310194902,368.1616354442667,370.80161316669546,893.2720025186427,907.5845685380045,909.2492284858599,18.485877324917144,23.650684870494107,24.578139969605893,17.88552204379812,19.009740982437506,93.68831116356888,281.33599215713247,0
8192,16,48,44,4684.227491496131,8963.408394856378,9097.491258153459,6937.721944064833,10375.457663927227,10397.763302510139,72.5523606787676,72.82649238402355,72.85769895049593,40.31973745441064,360.3051446087193,401.691999429604,49.23184802397292,0,523.0091349803843,684.649111633189,689.0182204870507,1284.2489139875397,1305.721975810593,1312.0208441000432,24.60845658037391,34.277635696719614,34.65637654599343,20.83215001039207,23.2941034482792,175.7525196834467,390.1173497836765,0
8192,32,96,93,9867.734792002011,19038.612198462943,19425.33646731754,12120.772661583032,20659.698212490184,20725.17967025051,72.6394854850256,72.7955601863458,72.84968097115897,40.31290952116251,362.3069802415557,402.3032864788547,49.36900913066356,0,838.6706174351275,1286.9484044786077,1332.4491936480626,2070.7325084949844,2136.6932333039586,2144.075346540194,40.604897241498676,55.42792591938539,58.58611158422014,27.739664423279464,181.3400315004401,195.85892805480398,481.62286226355445,0
8192,64,192,186,20144.01613501832,38923.25725927367,39976.12034218735,22393.092677055392,41173.69589484297,41276.04045174434,72.60176493606019,72.79385446886262,73.03166898635907,40.31682701315731,362.34399391687475,401.96455686353147,49.55881249154802,0,1485.290153999813,2594.7556539031207,2643.4500117762946,3581.3425110536627,3718.0703024205286,3730.0749544997234,68.29338306523559,97.26598141959028,101.44018592699732,40.09726701769978,197.98215801711194,203.5433922498487,543.7281056687724,0
16384,1,3,3,720.9475809941068,721.6299114981666,721.6905630985275,1413.2192119723186,1413.848587393295,1413.9045318751596,22.331342934781024,22.344895481928102,22.34610015278562,22.324561956338584,22.36182983033359,22.557868855074048,22.602489040847345,0,134.5613090088591,134.97144799912348,135.0079047982581,610.4503559181467,610.4809947079048,610.4837181558833,15.348470191501322,15.364406345742605,15.365822892786275,15.71304991375655,16.35309534613043,16.530328430235386,52.202927578233115,0
16384,4,12,12,1767.995489470195,2850.472790695494,2850.7627269334625,4171.037975989748,4236.998474033317,4237.272514830111,77.51997345082101,109.09316011839697,109.09715313269126,43.201678490731865,84.70183028839529,747.3615086323116,30.180540628072777,0,368.56191302649677,431.207996950252,432.44020420475863,934.8525704699568,950.5956499255262,952.2709508496337,18.243895032473148,23.36409337454355,24.301682234283597,17.2577835037373,18.405089422594756,158.7493358447682,134.5065805698077,0
16384,8,24,24,3834.664785012137,7020.681537978817,7024.041835281532,7300.835451576859,8407.45074164006,8410.74106348562,109.82952822533045,111.88118340627801,111.90346592699268,43.207747978158295,735.8002164866775,778.1775314698461,30.422194438241455,0,599.3656425271183,796.5678044653032,799.962894563796,1347.7899115532637,1369.5863956352696,1370.6254561757669,24.243504419216826,35.97068815950243,36.48827947161701,19.301936961710453,21.433452347991988,205.1756738650147,186.07209883938205,0
16384,16,48,48,8013.435305038001,15102.433321182614,15373.94345865352,11480.71113054175,16733.463301084703,16760.719050265616,111.773285904013,111.92036478276995,111.94584619715779,43.20231900783256,737.2139474959113,780.8306144271046,30.53699989472777,0,953.1583385542035,1544.1035550436936,1547.6140017760918,2200.1850025262684,2246.0450028826017,2248.0397716222797,40.551966159499344,58.72688301155464,60.88552217340968,23.790009028743953,210.30639248783697,230.48946679919027,225.90118090919233,0
16384,32,96,94,16374.274611531291,31288.125654042233,32030.206794961123,19841.312405013014,33389.928996242816,33418.48077768809,111.80811475834719,112.00014311320808,112.06207839967382,43.205925496295094,739.188898995053,781.325445510447,30.610864405300326,0,1777.871823986061,3022.1422552131116,3119.327573454939,3897.5302730104886,4041.410629026359,4050.0736879883334,68.2917983241139,104.35873088652208,110.02238906071251,33.78971497295424,231.1232322244905,240.4276007146109,250.7937440747436,0
16384,64,192,189,33044.43296446698,63173.46582007012,65368.20908245398,36510.08809596533,66633.16170837497,66755.0240098394,111.85811150015422,112.05526311720361,112.23026764304977,43.206450005527586,739.4566380186006,781.7144420475233,30.647843678879536,0,3164.9459674954414,7374.424651247682,8037.661667604698,6988.78445441369,8786.318560200743,8836.50392980082,133.2820594656251,156.58573069132774,157.5601090953475,48.32128848647699,239.0112920315005,249.72697089076968,267.1749686452361,1
